<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,5,20170127,231000,121.7,121.78,121.7,121.76,27939
US2.AAPL,5,20170127,231500,121.75,121.75,121.73,121.75,6878
US2.AAPL,5,20170127,232000,121.755,121.795,121.755,121.765,16672
US2.AAPL,5,20170127,232500,121.765,121.785,121.76,121.765,21790
US2.AAPL,5,20170127,233000,121.77,121.8,121.72,121.72,70018
US2.AAPL,5,20170127,233500,121.725,121.77,121.725,121.765,47348
US2.AAPL,5,20170127,234000,121.765,121.765,121.74,121.755,25089
US2.AAPL,5,20170127,234500,121.755,121.77,121.75,121.765,18716
US2.AAPL,5,20170127,235000,121.765,121.765,121.72,121.73,36332
US2.AAPL,5,20170127,235500,121.73,121.935,121.73,121.92,73546
US2.AAPL,5,20170128,0,121.93,121.97,121.71,121.75,55097
US2.AAPL,5,20170130,173500,120.96,121.2,120.66,121.18,103634
US2.AAPL,5,20170130,174000,121.19,121.35,120.95,121.29,103538
US2.AAPL,5,20170130,174500,121.29,121.35,121.04,121.04,63709
US2.AAPL,5,20170130,175000,121.04,121.15,120.92,120.95,62334
US2.AAPL,5,20170130,175500,120.93,121,120.74,120.99,63357
US2.AAPL,5,20170130,180000,120.97,121.05,120.86,120.96,57080
US2.AAPL,5,20170130,180500,120.97,121.14,120.92,121.13,40933
US2.AAPL,5,20170130,181000,121.15,121.18,120.99,121.18,36725
US2.AAPL,5,20170130,181500,121.18,121.18,120.97,121.09,97277
US2.AAPL,5,20170130,182000,121.1,121.18,121.005,121.03,59694
US2.AAPL,5,20170130,182500,121.04,121.18,121,121.02,72234
US2.AAPL,5,20170130,183000,121.01,121.11,121.01,121.07,78085
US2.AAPL,5,20170130,183500,121.07,121.11,120.98,121.09,92296
US2.AAPL,5,20170130,184000,121.08,121.1,121.005,121.01,55663
US2.AAPL,5,20170130,184500,121.01,121.07,121.005,121.06,49003
US2.AAPL,5,20170130,185000,121.04,121.09,121.01,121.015,29816
US2.AAPL,5,20170130,185500,121.015,121.08,120.985,121.07,60350
US2.AAPL,5,20170130,190000,121.06,121.15,121.05,121.13,58985
US2.AAPL,5,20170130,190500,121.13,121.14,121.06,121.06,24010
US2.AAPL,5,20170130,191000,121.06,121.09,121.05,121.08,15926
US2.AAPL,5,20170130,191500,121.09,121.18,121.08,121.17,32509
US2.AAPL,5,20170130,192000,121.18,121.19,121.15,121.16,64711
US2.AAPL,5,20170130,192500,121.17,121.27,121.17,121.27,26055
US2.AAPL,5,20170130,193000,121.27,121.29,121.22,121.26,60476
US2.AAPL,5,20170130,193500,121.26,121.26,121.12,121.12,49461
US2.AAPL,5,20170130,194000,121.13,121.16,121.13,121.14,24325
US2.AAPL,5,20170130,194500,121.15,121.23,121.13,121.23,22209
US2.AAPL,5,20170130,195000,121.23,121.27,121.215,121.25,34617
US2.AAPL,5,20170130,195500,121.25,121.26,121.205,121.205,19910
US2.AAPL,5,20170130,200000,121.21,121.27,121.19,121.26,36248
US2.AAPL,5,20170130,200500,121.26,121.265,121.24,121.24,20808
US2.AAPL,5,20170130,201000,121.24,121.27,121.21,121.21,35941
US2.AAPL,5,20170130,201500,121.21,121.27,121.155,121.26,21673
US2.AAPL,5,20170130,202000,121.26,121.28,121.23,121.28,41588
US2.AAPL,5,20170130,202500,121.28,121.28,121.21,121.23,29474
US2.AAPL,5,20170130,203000,121.24,121.27,121.24,121.25,20851
US2.AAPL,5,20170130,203500,121.25,121.26,121.22,121.25,25787
US2.AAPL,5,20170130,204000,121.25,121.28,121.22,121.22,22915
US2.AAPL,5,20170130,204500,121.22,121.22,121.14,121.17,35281
US2.AAPL,5,20170130,205000,121.17,121.18,121.13,121.15,15523
US2.AAPL,5,20170130,205500,121.14,121.24,121.12,121.18,23618
US2.AAPL,5,20170130,210000,121.17,121.18,121.15,121.17,16203
US2.AAPL,5,20170130,210500,121.18,121.245,121.17,121.19,42644
US2.AAPL,5,20170130,211000,121.2,121.25,121.19,121.24,21135
US2.AAPL,5,20170130,211500,121.24,121.255,121.21,121.21,30268
US2.AAPL,5,20170130,212000,121.205,121.24,121.175,121.175,28517
US2.AAPL,5,20170130,212500,121.16,121.235,121.15,121.18,10709
US2.AAPL,5,20170130,213000,121.17,121.2,121.15,121.19,29251
US2.AAPL,5,20170130,213500,121.19,121.2,121.11,121.14,19002
US2.AAPL,5,20170130,214000,121.145,121.15,121.11,121.15,55122
US2.AAPL,5,20170130,214500,121.15,121.23,121.13,121.195,24428
US2.AAPL,5,20170130,215000,121.19,121.19,121.16,121.18,5696
US2.AAPL,5,20170130,215500,121.18,121.18,121.15,121.18,20028
US2.AAPL,5,20170130,220000,121.17,121.175,121.15,121.16,23663
US2.AAPL,5,20170130,220500,121.16,121.185,121.13,121.16,23776
US2.AAPL,5,20170130,221000,121.16,121.175,121.15,121.17,32730
US2.AAPL,5,20170130,221500,121.18,121.2,121.16,121.18,15519
US2.AAPL,5,20170130,222000,121.17,121.175,121.15,121.175,9124
US2.AAPL,5,20170130,222500,121.18,121.19,121.16,121.18,38679
US2.AAPL,5,20170130,223000,121.19,121.25,121.19,121.22,46800
US2.AAPL,5,20170130,223500,121.22,121.25,121.22,121.23,11395
